spotify_track_uri,track_name,artist_name,album_name,tags,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,speechiness,liveness,key,mode,time_signature,track_id,artist_id
spotify:track:1TycxSppuyhz7NVbiOs870,Triangle Ship (feat. Kendrick Lamar),Terrace Martin,3ChordFold,"['hip hop', 'hip-hop & rap']",0.36,0.47,0.25,171.35,-12.17,0.05,0.0,0.38,0.12,7.0,0.0,4.0,0,1855
spotify:track:59kp0ZIIrRNfILBzU8MnFD,Ab Soul's Intro (feat. Ab-Soul),Terrace Martin,3ChordFold,"['hip hop', 'hip-hop & rap']",0.36,0.39,0.23,79.63,-11.78,0.27,0.0,0.08,0.14,5.0,0.0,4.0,1,1855
spotify:track:5mDM8ebttXPLMkFxzrX8EA,Get Away,Terrace Martin,3ChordFold,"['hip hop', 'hip-hop & rap']",0.67,0.4,0.45,97.02,-13.16,0.4,0.0,0.2,0.15,5.0,0.0,4.0,2,1855
spotify:track:6k4ZH5yi5mIBXiFK8xJoGJ,You Will Rise,Sweetback,Sweetback,"['pop', 'r&b', 'r&b, funk & soul', 'rock']",0.77,0.39,0.51,87.86,-9.91,0.13,0.0,0.04,0.14,8.0,1.0,4.0,3,1800
spotify:track:06aBnHJdZnuf8wZc6EhEHM,トーキョー レギー,Masayoshi Takanaka,ALL OF ME,"['jazz', 'pop', 'j-pop', 'rock']",0.49,0.78,0.75,131.13,-9.01,0.14,0.01,0.04,0.1,4.0,1.0,4.0,4,1254
spotify:track:0DUDVrcZHLTk30M7dbowww,Hiphop Gan.G Nam,Drunken Tiger,Feel gHood Muzik : The 8th Wonder,"['asian', 'hip hop', 'hip-hop & rap', 'others', 'worldwide', 'pop']",0.8,0.89,0.54,115.03,-3.47,0.0,0.0,0.05,0.11,9.0,1.0,4.0,5,540
spotify:track:3qHHIOya0w3mU8XBS7odR2,Lil' Lonely,Devin Morrison,Lil' Lonely,"['r&b', 'r&b, funk & soul', 'soul']",0.8,0.39,0.63,146.04,-9.74,0.08,0.27,0.06,0.06,6.0,0.0,4.0,6,506
spotify:track:1LR9rQCGhM0MqESvRQ9EFX,Something Wrong (with Don Toliver),DJ Snake,Something Wrong (with Don Toliver),"['hip hop', 'hip-hop & rap']",0.61,0.71,0.11,154.94,-3.56,0.07,0.0,0.05,0.08,10.0,1.0,4.0,7,460
spotify:track:290eKCMBc9f9CcSLFuQrim,Spend It,Summer Walker,Spend It,"['r&b', 'r&b, funk & soul']",0.61,0.43,0.36,134.98,-6.88,0.11,0.0,0.04,0.14,1.0,0.0,4.0,8,1796
spotify:track:5Y5D9xGteT5UM8Bwxx7b3J,Love Me Anymore,Ghostface Killah,Supreme Clientele 2,"['hip hop', 'hip-hop & rap']",0.68,0.88,0.63,164.24,-3.56,0.08,0.0,0.46,0.28,10.0,0.0,4.0,9,716
spotify:track:1Y7Nt3XeJ09o8VDeWetmkR,2-5-1,Crush,FANG,"['asian', 'pop', 'k-pop', 'r&b', 'r&b, funk & soul']",0.7,0.41,0.28,142.03,-7.88,0.08,0.0,0.03,0.08,1.0,0.0,4.0,10,433
spotify:track:403TlzPjfgom5QGWX11FCw,UP ALL NITE (Feat. SUMIN),Crush,FANG,"['asian', 'pop', 'k-pop', 'r&b', 'r&b, funk & soul']",0.84,0.67,0.9,119.99,-6.38,0.02,0.0,0.06,0.24,5.0,0.0,4.0,11,433
spotify:track:4U4x3tW1Xrq2BX8ZczW12X,FREQUENCY (Feat. Loco),Crush,FANG,"['asian', 'pop', 'k-pop', 'r&b', 'r&b, funk & soul']",0.8,0.68,0.68,97.99,-5.91,0.24,0.0,0.06,0.21,7.0,0.0,4.0,12,433
spotify:track:6RL6ZSNwpYk2dQfKu1tu88,MAMMAMIA (Feat. Tabber),Crush,FANG,"['asian', 'pop', 'k-pop', 'r&b', 'r&b, funk & soul']",0.51,0.59,0.14,95.14,-7.71,0.26,0.0,0.09,0.67,2.0,0.0,4.0,13,433
spotify:track:4wFW70gQ7Q39URHBsE5M9V,MALIBU,Crush,FANG,"['asian', 'pop', 'k-pop', 'r&b', 'r&b, funk & soul']",0.7,0.47,0.67,139.95,-7.05,0.52,0.0,0.03,0.09,11.0,1.0,4.0,14,433
spotify:track:3maNWrDSF4ZpBH5lLg0PyF,LOVERS OR FRIENDS,YG,LOVERS OR FRIENDS,"['hip hop', 'hip-hop & rap']",0.83,0.51,0.62,106.94,-6.29,0.04,0.0,0.25,0.26,1.0,1.0,4.0,15,2047
spotify:track:4Xw2NeYbmKW1KAQkgqrIm4,Cool Like Dat,Rizván,Cool Like Dat,"['hip hop', 'hip-hop & rap']",0.59,0.67,0.51,88.79,-5.32,0.26,0.0,0.58,0.08,4.0,0.0,4.0,16,1599
spotify:track:1k51Q6GFWBbsaWlBB2gnzo,Gimme Dat (feat. Wizkid),Ayra Starr,Gimme Dat,"['benin', 'rnb', 'afrobeats', 'soul', 'nigeria', 'pop', 'african', 'afropop']",0.74,0.75,0.6,94.85,-5.28,0.01,0.0,0.18,0.1,10.0,1.0,4.0,17,168
spotify:track:4z3Pqqq7MG1cYAfTk1kBbm,Love Comes Easy,Eloise Laws,Eloise,"['r&b', 'r&b, funk & soul', 'rock']",0.46,0.36,0.51,82.14,-10.48,0.85,0.02,0.02,0.1,9.0,0.0,4.0,18,584
spotify:track:2hyyA7U1m1pFlZcEyl91jH,Pitch In OnA Party,DJ Quik,Balances & Options,"['hip hop', 'hip-hop & rap', 'rock']",0.87,0.63,0.54,106.37,-5.96,0.05,0.0,0.21,0.06,6.0,1.0,4.0,19,459
spotify:track:3mSgykPdtUy4IZMEDC64R2,Melanin,FS Green,Melanin,['african'],0.77,0.74,0.75,127.09,-6.27,0.24,0.69,0.05,0.1,8.0,0.0,4.0,20,623
spotify:track:6Oh43MvcSyaaISNavkrWRY,Ask For More,Lefty Gunplay,Ask For More,"['hip hop', 'hip-hop & rap']",0.89,0.52,0.83,141.06,-10.0,0.1,0.0,0.2,0.3,2.0,1.0,4.0,21,1117
spotify:track:3tNa8xKl7HWeXHFYNnttvD,Check,FLO,Check,"['r&b', 'r&b, funk & soul']",0.57,0.79,0.41,141.01,-5.44,0.16,0.0,0.04,0.31,4.0,0.0,4.0,22,621
spotify:track:1cv5SZwknENyRdD1GKAAwz,DIVA,Isaiah Falls,DIVA,"['r&b', 'r&b, funk & soul', 'soul']",0.68,0.41,0.56,131.25,-10.47,0.63,0.03,0.06,0.1,7.0,0.0,4.0,23,831
spotify:track:6bQTdecTIAU8hMlbyUp2Xu,Long Way,Blxst,I'll Always Come Find You,"['hip hop', 'hip-hop & rap', 'r&b', 'r&b, funk & soul']",0.73,0.65,0.57,99.48,-5.8,0.37,0.0,0.33,0.28,1.0,0.0,4.0,24,263
spotify:track:0994zyvjadFAqOkl5ak8Uo,Is There Someone New?,Yung Bleu,Jeremy,"['r&b', 'r&b, funk & soul', 'soul']",0.7,0.59,0.5,150.05,-5.93,0.46,0.0,0.04,0.17,3.0,0.0,4.0,25,2076
spotify:track:3qeMtqV38UWPZfps7mPTUE,No.1 (feat. Tems),Tyla,TYLA,['pop'],0.88,0.77,0.43,121.02,-5.28,0.01,0.0,0.09,0.11,5.0,1.0,4.0,26,1968
spotify:track:6F4RYX8EbhdtCEuXCs7K3S,Havin or Not,LaRussell,Havin or Not,"['hip hop', 'hip-hop & rap']",0.89,0.8,0.71,110.07,-3.77,0.03,0.0,0.09,0.05,11.0,0.0,4.0,27,1088
